Date,Open,High,Low,Close,Adj Close,Volume,Return
03-01-2023,237.610001,238.419998,232.639999,234.289993,232.093353,318300,
04-01-2023,235.979996,238.320007,232.520004,238.240005,236.006317,418400,23.92447419
05-01-2023,236.970001,238.009995,229.779999,229.889999,227.734589,376800,-11.0403397
06-01-2023,231.089996,237.710007,230.410004,236.630005,234.411407,275300,-36.86887032
09-01-2023,238,239.179993,236.059998,237.639999,235.411926,211700,-30.04251299
10-01-2023,237.380005,239.160004,235.509995,238.850006,236.610596,245400,13.73268134
11-01-2023,240,246.740005,239,246.240005,243.931305,452400,45.75596817
12-01-2023,246.990005,248.300003,241.610001,241.929993,239.661713,267800,-68.93203883
13-01-2023,239.270004,241.410004,238.339996,239.429993,237.18515,245600,-9.039087948
17-01-2023,238.619995,241.240005,236.960007,238.169998,235.936966,247800,0.887812752
18-01-2023,237.410004,242.600006,236.929993,237.009995,234.787827,238200,-4.0302267
19-01-2023,235.580002,237.779999,233.369995,233.919998,231.726822,266000,10.45112782
20-01-2023,234.639999,236.720001,233.229996,235.899994,233.688232,197800,-34.47927199
23-01-2023,236.979996,242.860001,235.509995,240.289993,238.037079,244600,19.13327882
24-01-2023,241.020004,243.550003,239.690002,240.320007,238.066833,212800,-14.94360902
25-01-2023,238.610001,241.639999,236.929993,240.740005,238.48288,190200,-11.88222923
26-01-2023,242.229996,245.820007,240.479996,243.160004,240.880203,232800,18.29896907
27-01-2023,242.630005,251.320007,241.259995,248.470001,246.140381,316100,26.35242012
30-01-2023,246.830002,250.050003,244.630005,244.669998,242.376022,231100,-36.78061445
31-01-2023,245.5,250.860001,244.360001,250.860001,248.507996,613200,62.31245923
01-02-2023,250.289993,257.600006,249.850006,255.559998,253.163925,210400,-191.4448669
02-02-2023,256.5,259.709991,255.960007,257.290009,254.877716,493000,57.32251521
03-02-2023,254.75,256.950012,249.279999,250.479996,248.131546,386000,-27.72020725
06-02-2023,248.070007,249.759995,243.009995,246.729996,244.416702,445700,13.39466009
07-02-2023,245.679993,250.679993,242.350006,250.679993,248.329666,522300,14.66590082
08-02-2023,258.799988,264.390015,249.740005,251.240005,248.884445,770400,32.20404984
09-02-2023,253.990005,263.329987,253.630005,253.679993,251.301544,493800,-56.0145808
10-02-2023,250.869995,255.639999,250.809998,255.639999,253.243164,328200,-50.45703839
13-02-2023,256.640015,258.48999,255.589996,257.350006,254.937149,304900,-7.641849787
14-02-2023,255.800003,259.109985,254.669998,257.029999,254.620148,292900,-4.09696142
15-02-2023,256.420013,262.149994,256.420013,260.790009,258.344879,340900,14.08037548
16-02-2023,257.01001,262.040009,257.01001,259.850006,258.156128,361500,5.698478562
17-02-2023,259.600006,267.140015,258.929993,266.190002,264.454803,484800,25.43316832
21-02-2023,264,264.649994,257.339996,259.730011,258.036926,556000,12.8057554
22-02-2023,259.929993,260.459991,255.800003,256.970001,255.294907,356400,-56.00448934
23-02-2023,257.579987,259.149994,252.910004,256.690002,255.016724,255600,-39.43661972
24-02-2023,254.179993,260.040009,253.619995,257.51001,255.831375,379200,32.59493671
27-02-2023,259.390015,262.420013,257.980011,259.019989,257.331512,201800,-87.90882061
28-02-2023,258.350006,262.23999,257.630005,258.220001,256.536743,365100,44.72747193
01-03-2023,257.640015,262.209991,257.170013,257.940002,256.258575,218900,-66.78848789
02-03-2023,256.660004,260.929993,254.210007,260.929993,259.229065,255200,14.22413793
03-03-2023,261.980011,266.76001,259.48999,265.440002,263.709686,421000,39.3824228
06-03-2023,265.429993,268.049988,262.48999,264.279999,262.55722,258700,-62.73676073
07-03-2023,263.859985,265.440002,260.079987,260.48999,258.791931,281600,8.132102273
08-03-2023,260.519989,265.029999,260.359985,263.809998,262.090302,211800,-32.95561851
09-03-2023,264.209991,266.73999,255.470001,255.619995,253.95369,248800,14.87138264
10-03-2023,255.199997,255.199997,241.600006,243.100006,241.515305,556000,55.25179856
13-03-2023,239.100006,241.350006,235.389999,237.229996,235.683563,495600,-12.18724778
14-03-2023,241.240005,243.149994,234.699997,237.330002,235.782928,507500,2.344827586
15-03-2023,230.759995,232.630005,220.839996,222.630005,221.178757,609000,16.66666667
16-03-2023,218.210007,225.270004,215.360001,224.320007,222.857742,762200,20.09971136
17-03-2023,222.179993,222.320007,215.699997,218.210007,216.787567,1540400,50.51934562
20-03-2023,220.029999,222.029999,218.929993,221.070007,219.628922,638800,-141.1396368
21-03-2023,224.149994,226.25,221.050003,223.259995,221.804626,588900,-8.47342503
22-03-2023,223.300003,224.759995,217.740005,217.809998,216.390152,518700,-13.53383459
23-03-2023,218.139999,219.800003,211.610001,212.960007,211.571793,366700,-41.4507772
24-03-2023,211.070007,213.210007,206.75,212.050003,210.667725,573000,36.0034904
27-03-2023,215,218.300003,213.5,217.429993,216.01265,297600,-92.54032258
28-03-2023,217.720001,220.690002,217.550003,218.990005,217.562469,221200,-34.53887884
29-03-2023,220.639999,223.009995,219.380005,222.75,221.297958,229100,3.448275862
30-03-2023,225,227.190002,224.25,225.020004,223.553177,490800,53.32110839
31-03-2023,227.440002,228.649994,224.860001,226.070007,224.596329,451200,-8.776595745
03-04-2023,226.070007,228.990005,225.179993,225.809998,224.338013,417200,-8.149568552
04-04-2023,226.240005,226.880005,211.369995,212.229996,210.846527,613600,32.00782269
05-04-2023,209.740005,209.740005,203.660004,206.839996,205.491669,727600,15.66794942
06-04-2023,207.149994,207.880005,204.289993,205.600006,204.259766,461400,-57.69397486
10-04-2023,205.600006,211.029999,205.600006,210.539993,209.167542,440600,-4.720835225
11-04-2023,211.070007,213.5,209.75,210.759995,209.386124,285200,-54.48807854
12-04-2023,213.190002,215.130005,210.009995,210.600006,209.227173,365200,21.90580504
13-04-2023,210.600006,212.979996,207.759995,210.789993,209.415924,317100,-15.16871649
14-04-2023,210.759995,211.869995,209.449997,210.880005,209.505341,322800,1.765799257
17-04-2023,211.789993,217.490005,210.910004,216.869995,215.456284,437000,26.13272311
18-04-2023,216.940002,218.610001,215.860001,217.559998,216.1418,374300,-16.75126904
19-04-2023,216.839996,222,215.350006,220.770004,219.330872,594700,37.06070288
20-04-2023,218.910004,220.699997,218.179993,220.139999,218.704971,378800,-56.99577614
21-04-2023,220.300003,220.300003,214.850006,218.850006,217.423401,325300,-16.44635721
24-04-2023,219.660004,220.490005,216.889999,217.759995,216.340485,380600,14.52968996
25-04-2023,216.75,218.220001,213.190002,213.589996,212.197662,331300,-14.88077271
26-04-2023,211.839996,216.710007,211.839996,212.570007,211.184326,438000,24.36073059
27-04-2023,214.490005,219.729996,213.289993,217.649994,216.231201,689300,36.4572755
28-04-2023,209.020004,221.119995,208.839996,215.850006,214.442947,829900,16.94180022
